ru,en
ОБЗОРЫ,REVIEWS
,
,
,
НЕЙТРОННАЯ РЕФЛЕКТОМЕТРИЯ В РОССИИ: ТЕКУЩЕЕ СОСТОЯНИЕ И ПЕРСПЕКТИВЫ,Neutron Reflectometry in Russia: Current State and Prospects
В обзоре дано описание текущего состояния дел и перспектив развития в области нейтронной рефлектометрии на действующих и будущих нейтронных источниках Российской Федерации.,The review is devoted to the current state of affairs and prospects for development in the field of neutron reflectometry on the existing and future neutron sources in the Russian Federation.
В результате ввода в эксплуатацию новых инструментов на реакторах ИР-8 и ПИК число нейтронных рефлектометров в РФ должно удвоиться.,"Due to the commissioning of new instruments at the IR-8 and PIK reactors, the number of neutron reflectometers in the Russian Federation should double."
"В результате должен появиться набор инструментов, нацеленных на решение широкого круга задач в области физики, химии, биологии слоистых систем в интересах научного сообщества, а также для подготовки специалистов для дальнейшего развития и совершенствования данной методики.","As a result, there must arise a set of instruments aimed at solving various problems in the fields of physics, chemistry, and biology of layered systems in the interests of the scientific community and to train experts for further development and improvement of this technique."
,
,
,
ОГЛАВЛЕНИЕ,CONTENTS
,
Введение,Introduction
,
Особенности и тенденции развития метода нейтронной рефлектометрии,Specific Features and Tendencies of Neutron Reflectometry Development
,
Опыт развития метода нейтронной рефлектометрии в России,Experience in the Neutron Reflectometry Development in Russia
,
Перспективы развития метода нейтронной рефлектометрии на российских нейтронных источниках,Prospects of Developing Neutron Reflectometry on Russian Neutron Sources
,
Оборудование рефлектометров,Equipment of Reflectometers
,
Заключение,Conclusions
,
,
,
ВВЕДЕНИЕ,INTRODUCTION
,
"В научных исследованиях, проводимых в России с использованием выведенных пучков тепловых и холодных нейтронов, наступает важный этап развития, который определит эту область исследований на многие годы вперед и сформирует национальное сообщество пользователей нейтронными инструментами.","The scientific research performed in Russia with extracted beams of thermal and cold neutrons is entering an important stage of development, which will determine this area of research for many years ahead and form a national community of users of neutron instruments."
"Проводимая модернизация существующих нейтронных источников, ожидаемый ввод в эксплуатацию самого мощного источника в стране – высокопоточного реактора ПИК, а также планирование новых будущих источников различной мощности открывает новые перспективы для развития экспериментальной базы.","The current upgrade of existing neutron sources, the expected commissioning of the highest power source in our country—high-flux PIK reactor, and planning new sources of different powers opens new prospects for developing the experimental base."
"Совершенствование существующих установок и проектирование новых должны в полной мере учитывать особенности источника, на котором они будут работать, дополняя возможности друг друга, и иных, комплементарных методов исследования.","The upgrade of the existing systems and design of new ones should fully take into account the specific features of the source they will operate on, complementing the possibilities of each other and some other, complementary methods of study."
,
Основной парк экспериментальных установок любого нейтронного центра составляют установки нейтронно-дифракционного анализа для исследований в области физики конденсированного состояния.,The main stock of experimental setups of any neutron center includes systems of neutron-diffraction analysis for research in the field of condensed-matter physics.
Для получения структурной информации об объекте исследований на разных масштабах используются различные экспериментальные методы.,Various experimental methods are used to obtain structural information about an object of study on different scales.
"Широкоугольная дифракция (углы рассеяния 10–180) помогает изучать структуру и динамику вещества в масштабе межатомных расстояний, с помощью малоугловой дифракции (углы рассеяния 0–20) получают структурную информацию об объектах размером от десятых долей нанометров до нескольких сотен нанометров.","Wide-angle diffraction (scattering angles of 10–180) helps to study the structure and dynamics of material on the scale of interatomic distances; using small-angle diffraction (scattering angles 0–20), one can obtain structural information on objects with sizes from several tenths of nanometer to several hundreds of nanometers."
,
В данном обзоре будут рассмотрены состояние и перспективы развития метода нейтронной рефлектометрии (НР) на действующих и будущих нейтронных источниках России.,In this review we will consider the state of affairs and prospects of development of neutron reflectometry (NR) on existing and future neutron sources in the Russian Federation.
"Нейтронная рефлектометрия на сегодня зарекомендовала себя мощным методом исследования поверхностей, тонких пленок и многослойных структур [1–10].","To date, neutron reflectometry has recommended itself as a powerful tool for studying surfaces, thin films, and multilayer structures [1–10]."
"Уникальные возможности НР оказываются весьма востребованными в связи с большим интересом к наномасштабным структурам и явлениям при решении фундаментальных и технологических задач, актуальных для физики, химии, биологии и в областях, лежащих на стыке этих наук.","The unique possibilities of NR are highly demanded in view of the great interest in nanoscale structures and phenomena when solving fundamental and technological problems urgent for physics, chemistry, biology, and interdisciplinary fields."
,
,
,
ОСОБЕННОСТИ И ТЕНДЕНЦИИ РАЗВИТИЯ МЕТОДА НЕЙТРОННОЙ РЕФЛЕКТОМЕТРИИ,SPECIFIC FEATURES AND TENDENCIES IN NEUTRON REFLECTOMETRY DEVELOPMENT
,
"Нейтронная рефлектометрия является дифракционным методом исследования ядерной и магнитной плотности длины рассеяния (ПДР) с разрешением по глубине от десятых долей нанометра до сотен нанометров путем анализа зеркально отраженных и рассеянных низкоэнергетичных (тепловых или холодных) нейтронов с длиной волны порядка 0.1 нм и выше, падающих под малыми углами к плоскости границы (в действительности углы скольжения к поверхности могут составлять от нескольких угловых минут до десятков градусов).","Neutron reflectometry is a diffraction method for studying the nuclear and magnetic scattering length density (SLD) with a depth resolution from several tenths of nanometer to several hundreds of nanometers by analyzing the specularly reflected and scattered low-energy (thermal or cold) neutrons with a wavelength of about 0.1 nm or higher, incident at small angles to the interfacial plane (in reality, the grazing angle to the surface may range from several angular minutes to several tens of degrees)."
"По своей сути метод НР относится к малоугловому рассеянию нейтронов (МУРН) с той разницей, что в классическом методе МУРН применяется аксиально симметричная относительно направления падающего пучка схема регистрации рассеянного излучения, а в методе НР рассеянное излучение регистрируется в одной из полусфер пространства, разделяемого надвое плоскостью изучаемого образца.","In essence, NR is a version of small-angle neutron scattering (SANS) method. The difference is that the scattered radiation detection scheme in the classical SANS method is axially symmetric with respect to the incident beam direction, whereas in the NR method scattered radiation is recorded in one of the hemispheres of the space halved by the plane of the sample studied."
Поэтому нейтронные рефлектометры выделяются в отдельную приборную группу.,"Therefore, neutron reflectometers form an individual instrumental group."
,
"Как и в общем случае, в исследованиях методом НР большое значение имеют особенности взаимодействия нейтронов с веществом, которые определяют уникальность метода, с одной стороны, и его комплементарность к светосильному методу рентгеновской рефлектометрии, с другой стороны.","As in the general case, of great importance in NR studies are the specific features of neutron interaction with matter, which determine, on the one hand, the uniqueness of this method and, on the other hand, its complementarity with fast X-ray reflectivity."
В отличие от рентгеновских лучей (и тем более электронов) нейтроны слабо поглощаются веществом.,"In contrast to X rays (and even more so to electrons), neutrons are weakly absorbed by matter."
"Кроме того, амплитуда рассеяния рентгеновских лучей пропорциональна атомному номеру элемента независимо от изотопного содержания, тогда как длина рассеяния нейтронов меняется немонотонно с атомным номером и может существенно отличаться для изотопов одного и того же элемента.","In addition, the X-ray scattering amplitude is proportional to the atomic number of element, independent of the isotopic content, whereas the neutron scattering length changes nonmonotonically with a change in the atomic number and may differ significantly for isotopes of the same element."
"Отсюда преимущества при исследовании слоев из элементов с близкими или, наоборот, с очень далекими номерами, а также возможность изотопного контрастирования и замещения.","This gives rise to an advantage when studying layers composed of elements with close or, vice versa, significantly different atomic numbers and to a possibility of isotopic contrasting and substitution."
"Нейтронная рефлектометрия часто является единственной методикой, с помощью которой можно получать прямую и достаточно подробную информацию о состоянии границ жидкой фазы с твердым телом или другой жидкостью, а также слоистых структур на этих границах независимо от химического состава материалов.","Neutron reflectometry is often the only technique that can provide direct and sufficiently detailed information about the state of interfaces between a liquid phase and a solid or some other liquid and the layered structures formed on these interfaces, independent of the chemical composition of materials."
,
Особенно это востребовано в рефлектометрических исследованиях биологических макромолекул на границах раздела.,This is especially demanded in the reflectometric studies of biological macromolecules at interfaces.
"Рефлектометрия зеркального отражения позволяет изучать, в том числе в режиме in situ, осаждение на твердые и жидкие поверхности модельных липидных мембран из растворов, а также процессы, проходящие в мембранах и прилежащих к ним областях.","Specular reflectometry makes it possible to analyze (in particular, in situ) the deposition of model lipid membranes on solid and liquid surfaces from solutions, as well as the processes occurring in membranes and regions adjacent to them."
Изучение модельных систем является существенным для понимания поведения клеточных биомембран.,Study of model systems is important for understanding the behavior of cellular biomembranes.
"При этом эффективно используется вариация контраста посредством изотопного замещения водород–дейтерий как в жидких компонентах, так и в самих биологических макромолекулах.","Here, an efficient way is to vary the contrast by isotopic hydrogen–deuterium substitution both in liquid components and in biological macromolecules themselves."
В результате по восстановленным из экспериментальных кривых отражения профилям ПДР определяют функции распределения различных химических групп по глубине перпендикулярно границе раздела и отслеживают их изменения при варьировании условий осаждения мембран.,The SLD profiles reconstructed from experimental reflection curves are used to determine the depth distribution functions of different chemical groups in the direction normal to the interface and trace their change with variation in the membrane deposition conditions.
"В качестве примера такого рода исследований можно привести работу [11], в которой изучались бислои на основе дипальмитоилфосфатидилхолина (ДПФХ) на рефлектометре D17 (ILL) с целью регулирования свойств модельных мембран.","An example of studies of this kind is [11], where dipalmitoylphosphatidylcholine (DPPC)-based bilayers were studied on the reflectometer D17 (ILL) in order to control the model membrane properties."
"Особый интерес представляет адсорбция/проникновение компактных биологических макромолекул или наночастиц в биологические мембраны, включая адсорбцию вирусов [12], что также приводит к изменению профилей ПДР.","Of particular interest is the adsorption/penetration of compact biological macromolecules or nanoparticles on/into biological membranes, including the adsorption of viruses [12], which also leads to a change in SLD profiles."
"Большой опыт при изучении свободных поверхностей в отношении адсорбции молекулярных мембран и биологических макромолекул (в частности белков) накоплен при применении рентгеновской рефлектометрии на синхротронных источниках, в том числе на  (станция “ Ленгмюр”) [13–15].","Extensive experience in the study of the ability of free surfaces to adsorption of molecular membranes and biological macromolecules (in particular, proteins) was accumulated using X-ray reflectivity on synchrotron sources, including the Kurchatov Synchrotron Radiation Source (KISI Kurchatov) (Langmuir station) [13–15]."
Применение нейтронной рефлектометрии для исследований свободных жидких поверхностей может быть реализовано только на рефлектометрах с горизонтальным размещением образца.,The application of neutron reflectometry to study free liquid surfaces can be implemented on only reflectometers with a horizontal sample arrangement.
В России первые эксперименты в этом направлении проводятся в настоящее время на рефлектометре ГРЭИНС (ОИЯИ).,The first experiments in this direction in Russia are being performed on the GRAINS reflectometer (JINR).
,
Особое значение метод НР имеет при использовании пучков поляризованных нейтронов.,The NR method is especially efficient when polarized neutron beams are used.
"К структурным характеристикам, определяемым пространственным распределением плотности ядер вещества (ядерная ПДР), добавляется возможность изучения распределения магнитной ПДР.",The analysis of the structural characteristics determined by the spatial distribution of the density of material nuclei (nuclear SLD) is supplemented with the possibility of studying the distribution of magnetic SLD.
"В отличие от немагнитной НР, при которой профиль ПДР соответствует одной амплитуде отражения, в рефлектометрии с поляризованными нейтронами (РПН) амплитуда отражения представляет собой матрицу 2 × 2, компоненты которой определяют амплитуды отражения с переворотом или без переворота спина.","In contrast to nonmagnetic NR, in which an SLD profile corresponds to one reflection amplitude, the reflection amplitude in polarized neutron reflectometry is a 2 × 2 matrix, whose components determine the spin-flip and non-spin-flip reflection amplitude."
"Схема измерения, при которой возможны измерения всех четырех коэффициентов отражения, включает в себя поляризатор, два спин-флиппера и анализатор (напомним, что коэффициент отражения есть квадрат модуля соответствующей амплитуды).","The measurement scheme allowing for measurement of all four reflectances includes a polarizer, two spin-flippers, and an analyzer (recall that the reflectance is defined as the squared modulus of the corresponding amplitude)."
"Это открывает возможности восстановления с помощью РПН структуры слоистых магнетиков и определения величины и ориентации векторов намагниченности в слоях [16, 17].","This circumstance makes it possible to reconstruct (using polarized neutron reflectometry) the structure of layered magnets and determine the magnitude and orientation of magnetization vectors in layers [16, 17]."
,
"Взаимодействие нейтронов с поверхностью образца в рефлектометрическом эксперименте приводит к их рассеянию по трем основным каналам (рис. 1): зеркальное отражение (угол падения равен углу отражения), незеркальное рассеяние (в плоскости зеркального отражения) и малоугловое рассеяние нейтронов при скользящем падении вне плоскости зеркального отражения (МУРН-СП, или GISANS в английской аббревиатуре).","The interaction of neutrons with the sample surface in a reflectometric experiment leads to their scattering into three main channels (Fig. 1): specular reflection (the angle of incidence is equal to the reflection angle), nonspecular scattering (in the mirror-reflection plane), and grazing-incidence small-angle neutron scattering (GISANS) beyond the mirror-reflection plane."
,
"Рефлектометрия зеркального отражения, как было отмечено выше, используется для восстановления профиля ПДР в направлении нормали к границам раздела сред и несет в себе информацию о химическом (и изотопном) составе отражающих слоев.","As was noted above, specular reflectometry is used to reconstruct the SLD profile in the direction normal to the interface; it yields information about the chemical (and isotopic) composition of reflecting layers."
"Структурные неоднородности масштабов 1–104 нм вдоль границы раздела сред (вариация ПДР), лежащие в плоскости зеркального отражения, могут быть разрешены при использовании щелевой коллимации при измерениях интенсивностей рассеяния в зависимости от qx (рис. 1).","Structural inhomogeneities on the scale of 1–104 nm along the interface (SLD variation), lying in the mirror-reflection plane, can be resolved using slit collimation when measuring the scattering intensity as a function of qx (Fig. 1)."
"МУРН-СП представляет собой измерение интенсивностей в зависимости как от qx, так и от qу, поэтому такой режим измерений требует точечной коллимации (в двух перпендикулярных друг другу направлениях) падающего пучка.","Since GISANS implies measurement of intensities as functions of both qx and qу, this measurement mode calls for point collimation (in two orthogonal directions) of the incident beam."
"В режиме МУРН-СП можно измерить латеральные неоднородности (вариации ПДР) в плоскости, перпендикулярной плоскости зеркального отражения масштабов 1–102 нм.",In the GISANS mode one can measure lateral inhomogeneities (SLD variations) on the scale of 1–102 nm in the plane oriented perpendicular to the mirror-reflection plane.
,
"Пространственное разрешение метода нейтронной рефлектометрии определяется областью обратного пространства (пространство переданных импульсов q), в котором проведено измерение сечений рассеяния, и приборным разрешением q.",The spatial resolution of neutron reflectometry is determined by the region of reciprocal space (space of momentum transfers q) in which the scattering cross section was measured and the instrumental resolution q.
В любом измерении важно найти правильный баланс между этим параметрами для получения требуемой информации за приемлемое время измерений.,In any measurement it is important to find a correct balance between these parameters to gain the desired information for an acceptable measurement time.
"С одной стороны, особенности поведения функции рассеяния в обратном пространстве существенны для извлечения деталей структуры.","On the one hand, the behavioral features of the scattering function in the reciprocal space are important for extracting structural details."
"На рис. 2 показано, как разрешение влияет на коэффициенты отражения от слоев с толщинами 20, 50 и 100 нм.","Figure 2 shows how resolution affects the reflectances of 20-, 50-, and 100-nm-thick layers."
"С другой стороны, улучшение разрешения ухудшает статистику, ограничивая доступную для измерений область обратного пространства, и увеличивает время измерений.","At the same time, an improvement in resolution deteriorates the measurement statistics (limiting the reciprocal space region available for measurements) and increases the measurement time."
,
"В [18] показано, что падающий поток в щелевой геометрии при оптимальной настройке измерений пропорционален (q)3.",It was shown in [18] that the incident flux in the slit geometry in optimally adjusted measurements is proportional to (q)3.
"Под оптимальной настройкой понимается учет размеров образца, функции разрешения установки и угла отражения, при котором проводится измерение.","Optimal adjustment implies taking into account the sample sizes, the installation resolution function, and the reflection angle at which a measurement is performed."
"Это объясняет разделение рефлектометров на два класса: одни оптимизированы для высоких потоков и низкого разрешения, другие – для высокого разрешения с соответствующим уменьшением потоков.",This circumstance explains the separation of reflectometers into two classes: instruments optimized for high fluxes and low resolution and those optimized for high resolution with a corresponding decrease in flux.
"Отметим, что в двух измерениях с разрешением 2 и 12% потоки будут различаться в 63 = 216 раз.",Note that the fluxes determined in two measurements with resolutions of 2 and 12% will differ by a factor of 63 = 216.
"Отметим, что в случае, представленном на рис. 2, разрешение 12% не подходит для измерения толстых слоев, но вполне достаточно для тонких.","Note also that in the case presented in Fig. 2 a resolution of 12% is not fit for measuring thick layers; however, it is quite sufficient for thin layers."
"В качестве примера такого разделения можно привести два рефлектометра из европейских нейтронных центров: MARIA (реактор FRMII, Германия) [20] и GINA (BNC, Венгрия) [21].","This separation can be illustrated by an example of two reflectometers operating at European neutron centers: MARIA (reactor FRMII, Germany) [20] and GINA (BNC, Hungary) [21]."
"Рефлектометр MARIA, расположенный на высокопоточном источнике FRMII (20 МВт), ориентирован на исследования тонких магнитных пленок толщиной до 30нм.","The reflectometer MARIA, located on the high-flux source FRMII (20 MW), is designed to study thin (up to 30 nm) magnetic films."
"Динамический диапазон этого инструмента составляет 0.02–32 нм–1, разрешение q/q  15%.","The dynamic range of this instrument is 0.02–32 nm–1, and the resolution is q/q  15%."
"Возможность выполнять измерения при этих параметрах обеспечивается значительной плотностью потока , поляризованного пучка на образце в диапазоне длин волн 0.45–1 нм ( = 5 × 107 нсм–2с-1 при коллимации пучка  = 3 × 10–3 рад).",The possibility of carrying out measurements with these parameters is provided by the significant fluence  of a polarized beam on a sample in the wavelength range of 0.45–1 nm ( = 5 × 107 ncm–2s–1 at beam collimation  = 3 × 10–3 rad).
"Что касается рефлектометра GINA, то при значительно меньшем динамическом диапазоне 0.05–2.5нм–1 разрешение установки довольно высокое q/q  3%.","Concerning the reflectometer GINA, at a much narrower dynamic range (0.05–2.5 nm–1), the resolution of the installation is fairly high: q/q  3%."
"При низкой плотности потока на образце   2.5 × 103 н см–2 с–1 при коллимации пучка 1 × 10–3 рад на рефлектометре недоступны измерения в таком же широком диапазоне q и недостижимы значения коэффициентов отражения до 10–8, как на MARIA.","At a low fluence on the sample (  2.5 × 103 ncm–2s–1), at a beam collimation of 1 × 10–3 rad, the reflectometer cannot be used in measurements in the same wide range of q as on the MARIA; reflectances to 10–8 are inaccessible as well."
Тем не менее рефлектометр GINA успешно работает именно как рефлектометр с высоким разрешением.,"Nevertheless, the reflectometer GINA operates successfully specifically as a high-resolution reflectometer."
Хорошее оснащение и оптимальная конфигурация установки позволяют использовать доступный поток нейтронов максимально эффективно.,Good equipment and optimal configuration of this system make it possible to use maximally efficiently the available neutron flux.
"Полный поляризационный анализ, фокусирующая оптика предоставляют оптимальные возможности для быстрой и точной характеризации многослойной магнитной структуры в широком диапазоне температур и магнитных полей.",Complete polarization analysis and focusing optics provide optimal possibilities for fast and exact characterization of multilayer magnetic structures in a wide range of temperatures and magnetic fields.
"Исходя из этого, можно утверждать, что эти два прибора дополняют друг друга в получении информации об изучаемых объектах и занимают разные ниши в потребностях пользователей, занимающихся изучением магнетизма в тонких слоях.","Proceeding from this, one can state that these two instruments supplement each other in obtaining information about objects studied and occupy different niches in the needs of users investigating magnetism in thin layers."
,
"Обозначим другие важные факторы, определяющие функциональные возможности рефлектометра на разных типах источников.",Let us outline other important factors determining the functional possibilities of reflectometers based on sources of different types.
Существуют два типа источников нейтронов: импульсные и постоянные.,There are two types of neutron sources: pulsed and cw.
"На импульсных источниках излучение происходит в течение определенных периодически повторяющихся временных интервалов, между которыми поток падает до фоновых значений.","Pulsed sources emit radiation in certain, periodically repeating time intervals, between which the flux drops to background values."
Такая временная структура пучка нейтронов характерна для испарительных (spallation) источников и реакторов периодического действия.,This temporal structure of neutron beam is characteristic of spallation sources and periodic reactors.
"В первом случае ускоренный пучок протонов выводится на мишень, в результате чего формируется импульс высокоэнергетических нейтронов, которые после замедления в среде замедлителя выводятся в экспериментальные каналы.","In the former case a target is irradiated by an accelerated proton beam, as a result of which a pulse of high-energy neutrons is formed. After retardation in the moderator medium, these neutrons are extracted into experimental channels."
"В случае периодических реакторов, реактивность источника модулируется механическим путем.","In the case of periodic reactors, the source reactivity is modulated mechanically."
В России в настоящее время существуют два импульсных источника нейтронов для проведения исследований в области физики конденсированных сред – ИН-06 [22] на основе протонного ускорителя в ИЯИ РАН (г. Троицк) и единственный в мире реактор периодического действия ИБР-2 в ОИЯИ (г. Дубна) [23].,"To date, there are two pulsed neutron sources in Russia that are designed for studies in the field of condensed matter physics: IP-06 [22], based on a proton accelerator at the INR RAS (Troitsk) and the world's only periodic reactor IBR-2 at the JINR (Dubna) [23]."
"Постоянные источники нейтронов представляют собой реакторы, в которых поддерживается цепная реакция на определенном уровне и излучение нейтронов происходит непрерывно во времени.",Cw neutron sources are reactors in which a chain reaction is maintained at a certain level and neutron emission occurs continuously.
"На импульсных источниках используется техника измерений по времени пролета, на постоянных источниках с помощью монохроматоров можно выделить узкую спектральную линию и настроить экспериментальную установку на работу с ней или использовать времяпролетную технику, установив прерыватель пучка, который сформирует нейтронные импульсы.","The time-of-flight measurement technique is applied in pulsed sources. In the case of cw sources one can select (using monochromators) a narrow spectral line and tune the experimental setup to it or use the time-of-flight technique by installing a beam chopper, which will form neutron pulses."
"На постоянном источнике оба метода дают примерно одинаковую интенсивность и, следовательно, одинаковое время измерений.","For a cw source both these methods give approximately the same intensity and, therefore, the same measurement time."
"Например, времяпролетная техника более удобна для in situ-измерений в режиме реального времени, поэтому на стационарных источниках к ней часто прибегают на различных установках, в том числе на рефлектометрах.","For example, the time-of-flight technique is more convenient for on-line in situ measurements; therefore, it is often used in various systems (including reflectometers) on stationary sources."
"Однако необходимо отметить, что рефлектометр на импульсном источнике более эффективен, чем на стационарном, поскольку используется весь падающий поток, в то время как на стационарном реакторе только его часть.","However, it should be noted that a reflectometer installed on a pulsed source is more efficient as compared with a cw source, because the incident flux is used entirely rather than partially in this case."
"Например, рефлектометр на будущем источнике ESS будет превосходить по интенсивности установку на действующем стационарном реакторе в ILL более чем в 30 раз, хотя средняя мощность источников одинаковая.","For example, the intensity of the reflectometer planned for the future ESS source will exceed that of the existing stationary reactor at the ILL by a factor of more than 30, despite the fact that the average source power is the same."
"В настоящее время в мире функционирует около 30 нейтронных рефлектометров, из которых две трети – времяпролетные установки.","Currently, there are about 30 functioning neutron reflectometers all over the world; two thirds of them are time-of-flight systems."
,
Определенные каналы рассеяния в рефлектометрическом эксперименте несут разную информацию о структуре.,Certain scattering channels in a reflectometric experiment yield different structural information.
