	en_auto_sent_bleu	en_auto_bleu	en_auto_rogue	en_auto_meteor	en_auto_TER	en_auto_CHRF++	en_google_sent_bleu	en_google_bleu	en_google_rogue	en_google_meteor	en_google_TER	en_google_CHRF++	en_nllb_sent_bleu	en_nllb_bleu	en_nllb_rogue	en_nllb_meteor	en_nllb_TER	en_nllb_CHRF++	en_marian_sent_bleu	en_marian_bleu	en_marian_rogue	en_marian_meteor	en_marian_TER	en_marian_CHRF++
0	8.44	3.7	55.95	47.67	67	68.15	29.64	18.64	50.65	67.06	87	60.98	15.37	6.76	46.71	50.79	86	51.46	15.3	6.23	40.69	49.79	89	60.04
1	11.34	5.64	44.03	46.05	49	57.17	4.42	2.56	24.6	26.75	76	40.23	8.9	4.37	38.89	37.4	56	55.21	5.31	3.09	27.36	27.45	65	41.66
2	4.49	2.18	40.84	29.48	97	51.81	3.53	2.03	33.5	28.03	102	41.05	3.47	2.0	27.56	28.22	113	38.01	7.48	3.03	34.73	31.25	118	48.01
3	11.19	5.69	59.08	43.68	19	72.18	52.79	44.53	72.99	72.4	18	78.1	43.69	36.36	67.85	73.72	29	79.2	36.62	27.38	73.62	81.34	28	77.21
4	6.48	3.8	77.22	81.95	32	54.67	4.98	2.89	65.7	66.57	37	52.6	6.13	3.59	70.33	67.43	39	46.9	6.65	3.95	73.5	69.93	40	47.45
5	18.34	9.12	62.61	55.56	22	70.44	31.56	12.3	63.17	67.48	31	76.95	41.99	27.88	72.63	79.79	19	80.71	40.31	28.11	65.38	68.45	28	69.08
6	8.43	5.25	45.13	22.73	33	49.49	27.18	12.28	51.11	61.14	29	48.06	7.66	4.53	32.08	40.0	38	51.29	15.28	6.9	61.48	73.09	20	61.95
7	1.94	2.02	32.3	19.08	58	51.3	42.91	37.5	65.57	74.73	20	70.15	41.11	38.5	58.49	66.42	42	65.86	30.62	26.76	60.62	65.19	49	66.65
8	49.54	44.9	65.96	61.59	38	62.36	36.52	29.27	59.74	59.58	56	58.42	26.81	21.89	55.12	48.13	59	54.17	27.97	21.79	55.12	49.68	55	56.57
9	3.55	3.93	33.33	21.43	29	44.43	26.73	13.75	59.83	55.9	25	58.3	51.7	46.71	69.05	78.12	19	68.3	51.7	46.71	69.05	78.12	20	69.19
10	1.02	1.04	56.08	40.64	81	43.62	1.07	1.09	37.6	37.86	97	41.94	1.07	1.09	38.01	39.86	95	42.04	1.02	1.05	41.98	40.33	89	41.12
11	20.96	16.47	50.56	37.33	54	57.51	12.31	5.99	35.51	29.72	55	56.3	31.55	21.77	52.01	63.21	44	62.16	22.9	16.68	56.21	54.51	52	56.24
12	2.95	3.51	41.96	19.48	31	46.95	2.36	2.51	35.09	18.29	45	30.13	2.8	2.98	28.07	24.39	39	32.49	2.94	3.16	37.04	24.69	37	32.65
13	8.31	5.02	53.87	37.88	38	58.97	7.24	4.28	30.61	41.8	55	49.97	11.28	5.64	52.13	58.31	33	60.4	25.97	11.73	51.8	62.84	36	67.06
14	1.84	2.0	30.0	12.93	49	43.96	22.63	10.12	65.39	64.37	28	64.64	25.91	10.74	57.78	61.48	25	68.5	21.62	9.67	48.93	36.86	39	50.04
15	0.79	0.8	60.87	54.42	54	54.47	0.96	0.98	55.02	63.26	70	51.39	1.0	1.02	54.83	61.12	68	50.24	0.96	0.98	45.78	57.0	81	45.52
16	37.71	33.53	47.48	49.49	35	55.32	18.48	9.14	37.8	47.31	38	50.83	18.48	9.14	37.8	47.31	38	50.83	6.64	3.91	35.13	46.49	76	49.17
17	24.86	22.47	55.48	42.95	131	54.56	21.63	17.75	49.87	42.47	153	47.35	21.26	17.45	53.65	38.91	136	51.87	5.18	2.25	42.94	26.72	144	43.84
18	22.29	11.22	34.07	37.5	34	48.96	42.94	39.55	56.45	67.17	34	56.48	37.53	33.18	49.7	57.73	40	48.67	32.3	23.9	65.42	77.06	28	63.55
19	19.44	8.66	49.13	45.13	48	48.67	28.61	11.82	45.08	50.0	37	49.98	1.97	2.08	29.63	23.81	61	25.11	9.25	4.55	38.1	42.08	44	44.16
20	22.11	18.05	47.4	34.96	75	53.11	30.94	23.16	55.89	50.8	67	63.16	14.02	10.93	43.87	33.56	94	43.49	5.17	2.51	23.32	22.35	114	36.31
21	5.71	2.79	48.02	31.93	79	59.06	28.05	24.18	47.31	38.08	85	53.38	27.75	24.08	59.74	40.99	82	55.04	30.31	21.85	49.5	46.92	86	55.51
22	20.26	10.13	47.98	42.95	38	62.15	9.59	4.73	45.79	41.89	55	55.84	11.34	5.64	54.7	42.59	36	56.21	5.61	3.27	44.02	38.68	47	55.43
23	46.07	42.14	84.26	70.6	8	88.47	39.4	15.58	68.48	76.36	18	76.51	29.08	13.35	46.85	48.89	20	68.66	12.63	6.42	39.42	45.05	23	65.31
24	2.36	2.51	31.9	35.01	46	50.61	2.23	2.4	16.67	6.94	35	31.58	20.74	10.45	40.26	40.33	27	58.13	1.98	2.11	14.81	6.85	41	31.68
25	2.12	2.24	15.69	13.51	61	41.81	2.12	2.24	14.81	13.51	58	41.34	3.55	3.93	19.05	14.29	43	44.12	3.04	3.3	17.78	14.08	46	42.18
26	20.75	8.03	46.51	44.72	61	54.59	17.3	6.63	36.15	45.8	81	48.41	17.92	12.96	40.03	51.88	68	41.7	10.01	4.84	28.49	29.8	85	39.44
27	13.06	4.98	51.26	37.31	110	50.59	20.81	17.7	53.88	51.02	114	45.52	18.9	15.52	44.93	40.56	134	38.48	17.43	14.85	48.7	41.61	110	45.54
28	3.71	2.22	22.42	18.35	54	32.96	15.87	7.05	40.8	27.1	61	38.6	5.1	2.99	32.73	36.06	55	33.28	4.39	2.6	25.95	11.49	56	33.05
29	6.37	3.79	53.11	36.44	64	56.4	6.56	3.85	44.19	32.19	62	47.12	6.77	3.98	41.72	42.65	60	53.97	20.83	9.25	50.69	46.82	62	53.52
30	8.9	4.37	45.97	45.01	49	58.79	9.11	4.01	42.95	56.75	47	58.7	19.73	15.46	40.0	48.77	42	58.97	19.73	15.46	40.0	48.77	50	61.47
31	15.3	6.22	55.58	38.94	125	59.74	18.05	6.91	50.9	42.08	115	52.42	22.11	7.77	44.09	43.71	113	57.96	7.62	3.09	55.02	39.42	107	55.56
32	18.37	7.54	50.53	41.67	55	53.44	45.02	34.12	62.98	75.96	45	66.86	41.35	34.62	59.88	65.5	45	66.85	29.95	23.33	52.27	55.8	61	52.65
33	18.88	11.39	52.92	46.44	108	64.98	40.73	33.63	61.78	67.54	94	70.23	24.69	18.05	44.91	50.29	155	50.27	21.24	6.63	45.15	50.08	126	55.07
34	1.94	2.02	37.68	33.65	66	56.76	1.46	1.51	34.57	32.71	57	52.92	1.46	1.51	34.57	32.71	55	51.03	5.26	3.06	42.37	59.0	50	56.9
35	15.18	6.17	50.54	39.06	96	66.7	18.71	12.75	46.13	46.14	90	59.65	5.3	2.56	32.22	24.96	113	50.32	8.04	3.53	45.34	35.19	81	53.09
36	22.79	15.47	51.9	46.11	121	55.46	26.88	16.71	51.15	51.86	123	55.6	21.36	6.84	48.68	48.59	120	49.46	22.4	12.45	50.43	47.34	122	53.02
37	28.31	20.5	52.82	48.91	106	65.55	36.58	24.94	70.9	61.27	109	76.02	24.92	8.5	49.21	45.09	121	61.87	7.74	3.14	52.02	34.63	128	56.2
38	5.68	3.4	45.8	43.53	35	56.84	28.63	21.19	48.35	51.8	26	61.12	28.63	21.19	48.35	51.8	26	61.12	28.63	21.19	48.35	51.8	26	61.53
39	16.31	6.71	42.16	44.46	89	48.94	39.63	34.21	57.37	64.54	84	61.1	21.37	14.69	43.81	41.75	84	52.66	6.68	2.95	33.55	36.1	111	44.01
40	17.29	12.52	43.83	37.29	90	58.62	30.31	24.18	51.04	55.63	94	65.21	32.74	26.16	54.36	56.06	84	67.34	18.38	7.04	55.0	48.58	70	61.57
41	1.57	1.63	27.22	17.65	68	29.45	5.15	2.48	35.06	41.33	72	36.35	18.4	13.31	45.95	38.8	71	45.99	11.07	5.38	34.47	44.06	76	39.75
42	1.54	1.59	30.86	24.04	76	45.13	8.98	4.33	29.44	39.12	97	50.0	3.61	2.07	29.44	31.65	86	50.79	4.24	2.44	29.05	32.24	76	48.54
43	16.31	8.11	44.23	32.32	19	61.61	21.5	9.71	62.49	54.74	21	62.25	25.67	10.79	62.49	62.81	17	69.16	25.67	10.79	62.49	62.81	17	69.16
44	19.02	9.66	64.85	43.68	23	56.94	74.9	73.62	92.09	82.6	9	80.54	74.9	73.62	92.09	82.6	9	80.54	74.9	73.62	81.41	82.6	11	77.42
45	19.59	15.12	53.13	48.36	158	55.99	6.43	2.34	44.13	36.38	160	48.71	21.54	11.99	51.93	42.18	145	50.94	12.25	4.3	42.29	37.44	166	45.44
46	34.95	12.08	65.69	61.31	25	65.01	58.5	47.18	75.18	83.33	20	78.25	24.13	9.36	46.62	49.38	41	53.67	40.94	33.0	59.04	58.37	34	65.36
47	11.67	5.66	48.36	41.39	68	50.55	12.51	5.46	42.09	35.12	75	57.62	9.91	4.79	41.45	22.96	79	47.63	12.51	5.46	47.19	48.31	78	51.85
48	1.4	1.44	45.75	37.76	60	46.58	3.62	2.08	28.8	48.45	84	37.42	4.01	2.31	35.54	48.56	71	45.93	6.92	3.37	41.31	59.06	65	47.51
49	14.36	9.34	49.18	43.04	130	53.38	19.32	11.64	44.68	40.18	133	51.54	9.55	3.86	48.61	42.01	146	53.04	4.35	1.89	39.17	31.73	167	45.95
50	5.73	3.46	58.79	37.86	38	43.89	20.69	9.35	43.36	46.33	36	43.85	20.69	9.35	43.36	46.33	35	42.76	20.9	9.39	41.67	45.99	35	43.04
51	2.29	2.41	37.8	22.52	42	53.55	18.8	8.33	55.68	61.07	38	62.05	2.32	2.43	48.46	31.25	33	53.17	7.35	4.32	49.36	42.82	33	56.43
52	0.0	0.0	29.63	11.9	29	48.97	3.59	4.08	26.67	23.81	32	21.9	1.98	2.11	24.6	40.76	35	26.96	3.59	4.08	26.67	23.81	30	32.59
53	35.83	29.98	63.2	57.22	119	66.39	26.15	19.12	62.47	56.64	112	66.6	21.74	16.27	50.03	49.87	147	62.46	16.52	14.08	39.33	29.41	163	52.25
54	23.73	18.8	41.68	39.16	57	64.9	1.77	1.85	18.48	10.64	53	47.71	23.57	11.87	61.3	32.97	43	72.67	16.29	8.03	41.41	39.16	48	68.02
55	6.64	3.91	41.13	28.18	60	47.17	9.97	4.91	43.13	42.44	53	53.46	22.78	16.62	42.06	57.47	69	54.42	24.2	17.69	45.97	45.86	62	55.77
56	1.39	1.43	22.85	19.23	97	37.46	5.58	2.69	34.36	32.09	87	42.54	2.86	1.63	26.12	31.0	111	39.02	5.18	2.5	33.64	29.56	96	43.99
57	1.8	1.88	32.44	27.93	65	35.9	1.67	1.74	33.76	32.63	65	37.61	1.38	1.42	27.93	17.09	65	39.45	2.13	2.24	35.33	33.51	52	43.66
58	6.82	3.32	46.71	38.53	80	55.55	1.39	1.43	36.83	17.41	87	47.96	5.58	2.69	34.35	33.57	85	53.17	5.82	2.81	36.65	33.74	80	48.32
59	1.93	2.1	45.11	29.76	35	44.99	23.61	10.61	46.03	44.38	30	52.17	7.36	4.37	36.36	33.31	36	38.65	18.99	9.56	46.93	45.07	37	39.65
60	3.04	3.46	36.83	14.49	34	31.0	2.8	2.98	31.37	27.4	33	31.32	2.61	2.78	23.53	20.55	32	33.17	9.98	6.03	38.1	43.84	34	36.63
61	0.0	0.0	22.22	14.08	26	35.99	7.45	4.46	31.9	43.24	25	44.92	8.25	4.94	35.82	43.24	38	43.96	8.39	5.07	31.9	43.84	31	36.04
62	30.82	21.42	65.4	60.88	36	63.0	30.01	24.62	51.59	50.79	41	60.02	41.42	34.58	63.6	64.71	37	65.05	5.18	3.01	35.42	29.6	54	41.59
63	20.74	10.45	32.4	41.21	40	33.71	7.45	4.46	28.48	34.68	40	26.22	9.07	5.8	31.79	29.37	37	16.77	9.33	5.81	42.86	42.61	34	24.04
64	25.84	20.64	49.36	59.63	34	52.94	51.29	49.01	65.56	63.48	25	66.87	55.92	53.93	74.6	76.68	26	73.44	48.76	38.78	67.85	75.42	25	64.83
