Russian_term	English_term	Russian_sentence	English_sentence_expert	en_google Russian_sentence	en_nllb Russian_sentence	en_marian Russian_sentence
адресная доставка лекарств	targeted drug delivery	Ключевые слова: УФ, видимая, КР-спектроскопия, адресная доставка лекарств, микроконтейнеры ватерита, гризеофульвин, кинетика высвобождения.	Keywords: UV-Vis spectroscopy, Raman spectroscopy, targeted drug delivery, vaterite carriers, griseofulvin, release kinetics	Keywords: UV, visible, KR-spectroscopy, targeted drug delivery, microcontiners of vateride, Griseofulvin, release kinetics.	Key words: uh, visible, cr-spectroscopy, direct delivery of drugs, microcontainers of the vaterite, grizeofulvin, release kinetics.	Key words: uh, visible, cry-spectroscopy, targeted delivery of drugs, micro-containers of water, griseofulvin, kinetic release.
алгоритм уменьшения ошибки	error reduction algorithm	АЛГОРИТМ УМЕНЬШЕНИЯ ОШИБКИ	ERROR REDUCTION ALGORITHM	error reduction algorithm	Algorithm of error reduction	Error reduction algorithm
аналоговая обработка информации	analog data processing	Аналоговая обработка информации высокоэффективна для обработки неструктурированных сенсорных данных, таких как изображение, видео, звук, движение и т.д.	Analog data processing is efficient for processing unstructured sensor data (e.g., image, video, sound, motion, etc.).	Analogue processing of information is highly effective for processing unstructured sensory data, such as image, video, sound, movement, etc.	Analog processing is highly efficient for processing unstructured sensory data such as image, video, sound, motion, etc.	Analog processing of information is highly effective for processing unstructured sensory data such as image, video, sound, motion, etc.
без потери общности	without loss of generality	Без потери общности рассмотрения можно учесть влияние магнитного поля на дисперсию спиновых волн: .	Without loss of generality, we can take into account the effect of magnetic field on the dispersion of spin waves: .	Without losing the community of consideration, one can take into account the influence of the magnetic field on the dispersion of spin waves :.	without losing the common sense of the consideration, the effect of the magnetic field on the spine wave dispersion can be taken into account:.	Without loss of community of view, the influence of the magnetic field on spinal wave dispersion can be taken into account:.
более сложным образом	in a more complex way	В случае экранирования по Дебаю длина экранирования зависит от Т более сложным образом (а именно Lэкр ~ Т/ni) [9], что создает возможность конкуренции положительности первого слагаемого в (9) со вторым (всегда отрицательным), создавая ситуации с , не соответствующие режимам РС.	In the case of Debye screening, the screening length depends on T in a more complex way (specifically, as Lscr ~ T/ni) [9], which provides the possibility of competition between positivity of the first term in (9) with the second term (always negative), making situations with , which do not correspond to RS modes.	In the case of a shielding on the debuya, the length of the shielding depends on T in a more complex way (namely LECR ~ T/Ni) [9], which creates the possibility of competing the positive of the first term in (9) with the second (always negative), creating situations C not corresponding toregimes of RS.	In case of screening by debate, the length of screening depends on t in a more complex way (namely lэкр ~ т/ni) [9], which creates the possibility of competing the positiveness of the first f-linked to (9) with the second (always negative), creating situations with f-s that do not correspond to the f-s.	In the case of a screen on the debauch, the shielding length depends on t in a more complex way (namely, lekre ~ t/ni) [9], which makes it possible to compete with the second (always negative), creating situations that do not correspond to the ps mode.
более чем на порядок	by more than an order of magnitude	Интенсивность фундаментальной моды 1332 см–1 в спектрах КР микроалмазов более чем на порядок превышает интенсивность спектров КР неорганических порошков, зарегистрированных при аналогичных условиях.	The intensity of the 1332-cm–1 fundamental mode in the microdiamond Raman spectra exceeds that of the Raman spectra of inorganic powders recorded under similar conditions by more than an order of magnitude.	The intensity of fundamental fashion 1332 cm - 1 in the spectra of the Kyrgyz Republic of microalmases is more than an order of magnitude exceeds the intensity of the spectra of the Kyrgyz Republic of inorganic powders registered under similar conditions.	The intensity of the fundamental mode 1332 cm1 in the spectra of micro diamonds is more than a percentage of the intensity of the spectra of inorganic powders registered under similar conditions.	The intensity of fundamental fashion 1332 cm–1 in micro-alms spectra is more than an order of magnitude than that of inorganic powder spectra recorded under similar conditions.
в аналогичных условиях	under similar conditions	В аналогичных условиях на подложке Si с предварительно сформированным магнетронным распылением подслоем ZnO (температура подложки 300С, толщина 300 нм) наблюдается формирование сплошного слоя толщиной около 1 мкм (рис. 3б, 3в).	Under similar conditions, the formation of a continuous layer about 1 µm thick on the Si substrate with the ZnO sublayer formed previously magnetron sputtering (substrate temperature 300C, thickness 300 nm) is observed (Figs. 3b, 3c).	Under similar conditions, on the SI substrate with a pre -formed magnetron spraying by the ZNO sublayer (the temperature of the substrate 300C, thickness 300 nm), the formation of a solid layer with a thickness of about 1 μm (Fig. 3b, 3v) is observed.	In similar conditions, on the si substrate with a preformed magnetron spraying substrate zno (substrate temperature 300c, thickness 300 nm) a solid layer of about 1 mkm thickness is observed (fig. 3b, 3v).	In similar conditions, a continuous layer of about 1 μm thickness (figures 3b, 3v) is observed on the substrate si with pre-formed magnetron spray zno ( 300s substrate temperature, 300 nm thickness).
в ближней зоне	in the near-field zone	Показано, что для одиночного кольца магнитное поле на основной резонансной частоте сосредоточено внутри кольца и в ближней зоне, а для структур, состоящих из двух и более колец, магнитное поле регистрируется и в дальней зоне.	It is shown that the magnetic field at the fundamental resonance frequency for a single ring is concentrated inside the ring and in the near-field zone, whereas for structures consisting of two or more rings the magnetic field is also registered in the far-field zone.	It is shown that for a single ring, a magnetic field on the main resonance frequency is concentrated inside the ring and in the near zone, and for structures consisting of two or more rings, the magnetic field is recorded in the far zone.	It has been shown that for a single ring, the magnetic field at the main resonance frequency is concentrated inside the ring and in the nearby zone, and for structures consisting of two or more rings, the magnetic field is also recorded in the far zone.	It is shown that for a single ring, the magnetic field at the main resonant frequency is concentrated inside the ring and in the nearest zone, and for structures consisting of two or more rings, the magnetic field is also recorded in the distance zone.
в виде суперпозиции	in the form of a superposition	Для этого спектр k() представляется в виде суперпозиции полос гауссовой формы.	To this end, the spectrum k(λ) is represented in the form of a superposition of Gaussian bands.	To do this, the spectrum K () is presented as a superposition of a Gaussian shape.	For this, the spectrum k() is represented as a superposition of the gauss-shaped bands.	For this purpose, the range k() is presented in the form of superposition of the Gaussian shape strips.
в дальней зоне	in the far-field zone	Давление в среде принималось равным 230 мбар, область наблюдения гармоник (детектор) располагалась на расстоянии 150 см от среды (в дальней зоне).	The pressure in the medium was assumed to be 230 mbar, and the harmonic observation region (detector) was located at a distance of 150 cm from the medium (in the far-field zone).	The pressure in the medium was taken equal to 230 MBAR, the observation area of harmonic (detector) was located at a distance of 150 cm from the medium (in the far zone).	The pressure in the environment was assumed to be equal to 230 mbar, the harmonics (detector) observation area was located at a distance of 150 cm from the environment (in the distant zone).	The ambient pressure was 230 mbar, and the harmonics area (detector) was 150 cm from the medium (long-range).
в диапазоне длин волн	in the wavelength range	Спектры пропускания кристаллов регистрировали с помощью спектрофотометра Cary 5000 (Agilent Technologies) и ИК-фурье-спектрометра Nicolet Nexus 5700 (Thermo Scientific) в диапазоне длин волн  = 0.2–15 мкм.	Transmission spectra of the crystals were recorded using a Cary 5000 spectrophotometer (Agilent Technologies) and a Nicolet Nexus 5700 IR Fourier spectrometer (Thermo Scientific) in the wavelength range of  = 0.2–15 µm.	Crystal skidding spectra recorded using the Cary 5000 spectrophotometer (Agilent Technologies) and IR-Four-spectrometer Nicolet Nexus 5700 (Thermo Scientific) in the wavelength range = 0.2–15 μm.	The crystal spectra were recorded using the cary 5000 (agilent technologies) spectrophotometer and the nicolet 5700 (thermo scientific) ik-furie spectrometer in the wavelength range = 0.215 μm.	Crystal transmission spectrums were recorded with a spectrophotometer cary 5000 (agilent technology) and a violet spectrometer nicolet nexus 5700 (hermo scientific) in the wave length range 0.2-15 μm.
в единицу времени	per unit time	При фиксированной длине волны падающего света число фотоэлектронов, вырываемых из фотокатода в единицу времени, пропорционально интенсивности света (т.е. сила тока насыщения пропорциональна освещенности фотокатода).	(i) At a fixed incident-light wavelength, the number of photoelectrons knocked out from a photocathode per unit time is proportional to the light intensity (i.e., the saturation current strength is proportional to the photocathode illuminance).	With a fixed wavelength of falling light, the number of photoelectrons pulled out of the photocathode per unit of time is proportional to the intensity of light (i.e. the strength of the saturation current is proportional to the illumination of the photocathode).	The number of photonextrons pulled out of the photocatode in a unit of time is proportional to the intensity of the light (i.e. the force of the saturation current is proportional to the lighting of the photocatode).	With a fixed drop-beam wave, the number of photo-electronics removed from the photocatad per unit of time is proportional to the intensity of the light (i.e. the saturation current is proportional to the illumination of the photocatad).
