Russian_term	English_term	Russian_sentence	English_sentence_expert	consistency
кристаллическая структура	crystal structure	КРИСТАЛЛИЧЕСКАЯ СТРУКТУРА ВЫСОКОНИОБИЕВОГО ЛОМОНОСОВИТА С СИММЕТРИЕЙ Р1 ИЗ ХИБИНСКОГО МАССИВА (КОЛЬСКИЙ ПОЛУОСТРОВ)	Crystal Structure of Niobium-Rich Lomonosovite with the P1 Symmetry from the Khibiny Massif (Kola Peninsula)	True
кристаллическая структура	crystal structure	Кристаллическая структура уточнена до итогового фактора расходимости R = 6.3% в анизотропном приближении атомных смещений с использованием 3674 рефлексов с F  3σ(F).	The crystal structure is refined to final reliability factor R = 6.3% within the anisotropic approximation of atomic displacements using 3674 reflections with F > 3σ(F).	True
кристаллическая структура	crystal structure	Показано, что разориентированная пористая поликристаллическая структура нижнего электрода приводит к нарушению столбчатости перовскитовых зерен.	It is shown that the misoriented porous polycrystalline structure of the lower electrode leads to violation of columnarity of perovskite grains.	False
кристаллическая структура	crystal structure	Известно, что кристаллическая структура, а следовательно, и свойства сегнетоэлектрического слоя PZT в значительной степени определяются строением нижнего электрода [6, 11].	It is known that the crystal structure and, accordingly, properties of a ferroelectric PZT layer are determined to a great extent by the lower-electrode structure [6, 11].	True
кристаллическая структура	crystal structure	КРИСТАЛЛИЧЕСКАЯ СТРУКТУРА ВЫСОКОКАЛИЕВОГО МАНАКСИТА K(K0.72Na0.28)Mn[Si4O10] ПО ДАННЫМ НИЗКОТЕМПЕРАТУРНОГО СИНХРОТРОННОГО ЭКСПЕРИМЕНТА	Crystal Structure of Potassium-Rich Analog of Manaksite K(K0.72Na0.28)Mn[Si4O10] Based on the Low-Temperature Synchrotron Experiment Data	True
кристаллическая структура	crystal structure	Методом дифракции рентгеновских лучей с использованием синхротронного излучения при низких температурах ( = 0.64066 Å, T = 100 K, R = 0.0355) изучена кристаллическая структура нового трубчатого силиката калия, натрия и марганца, K(K0.72Na0.28)Mn[Si4O10], полученного в виде монокристаллов методом гидротермального синтеза в системе MnCl2–NaNO3–SiO2–K2CO3–H2O: a = 7.0182(4), b = 8.1642(7), c = 9.9670(11) Å,  = 104.816(8), β = 101.099(8),  = 113.558(8), пр. гр. P, Z = 2, ρвыч = 2.790 г/см3.	The crystal structure of a new tube potassium, sodium, and manganese silicate, K(K0.72Na0.28)Mn[Si4O10], prepared in the form of single crystals by the hydrothermal method in the MnCl2–NaNO3–SiO2–K2CO3–H2O system, has been studied by X-ray diffraction using synchrotron radiation at low temperatures (λ = 0.64066 Å, T = 100 K, R = 0.0355): a = 7.0182(4) Å, b = 8.1642(7) Å, c = 9.9670(11) Å, α = 104.816(8), β = 101.099(8),  = 113.558(8), sp. gr. P, Z = 2, and ρcalc = 2.790 g/cm3.	True
кристаллическая структура	crystal structure	Кристаллическая структура решена прямыми методами и уточнена в анизотропном приближении тепловых колебаний атомов с помощью комплекса программ SHELX [9, 10] до значения R-фактора 0.0248.	The crystal structure was solved by direct methods and refined within the anisotropic approximation of thermal atomic vibrations using the SHELX software [9, 10] until reliability factor R of 0.0248 is achieved.	True
кристаллическая структура	crystal structure	В [3] отмечено, что кристаллическая структура манаксита формально не может рассматриваться как микропористая, поскольку эффективный диаметр самого крупного восьмичленного кольца равен лишь 0.9 Å.	It was noted in [3] that the manaksite crystal structure cannot be formally considered as microporous, because the effective diameter of the largest eight-membered ring is only 0.9 Å.	True
кристаллическая структура	crystal structure	Кристаллическая структура тиеттаита расшифрована впервые на монокристалле и уточнена методом Ритвельда до итоговых факторов расходимости Rwp = 2.47% и RBragg = 1.38%.	The tiettaite crystal structure has been solved for the first time on a single crystal and refined by the Rietveld method to the final reliability factors Rwp = 2.47% and RBragg = 1.38%.	True
кристаллическая структура	crystal structure	Однако кристаллическая структура тиеттаита не была решена.	However, the tiettaite crystal structure was not solved.	True
