Russian_term	English_term	Russian_sentence	English_sentence_expert	en_google Russian_sentence	en_nllb Russian_sentence	en_marian Russian_sentence	consistency
кристаллическая структура	crystal structure	КРИСТАЛЛИЧЕСКАЯ СТРУКТУРА ВЫСОКОНИОБИЕВОГО ЛОМОНОСОВИТА С СИММЕТРИЕЙ Р1 ИЗ ХИБИНСКОГО МАССИВА (КОЛЬСКИЙ ПОЛУОСТРОВ)	Crystal Structure of Niobium-Rich Lomonosovite with the P1 Symmetry from the Khibiny Massif (Kola Peninsula)	Crystalline structure of high -niobium lomonosovite with symmetry P1 from the Khibinsky massif (Kola Peninsula)	crystalline structure of high-coniable limonosaite with symmetry of p1 from the Hiberian massif (Kolsky peninsula)	Crystallic structure of high-nyobium lomonosovite with symmetry of p1 from the Hibina (cole peninsula)	True
кристаллическая структура	crystal structure	Кристаллическая структура уточнена до итогового фактора расходимости R = 6.3% в анизотропном приближении атомных смещений с использованием 3674 рефлексов с F  3σ(F).	The crystal structure is refined to final reliability factor R = 6.3% within the anisotropic approximation of atomic displacements using 3674 reflections with F > 3σ(F).	The crystalline structure is specified to the final divergence factor R = 6.3% in the anisotropic approximation of atomic displacements using 3674 reflexes with F  3σ (F).	The crystal structure is specified to the final factor of divergence r = 6.3% in the anisotropic approximation of atomic displacements using 3674 reflections with f  3σ(f).	The crystalline structure has been refined to the final input factor r = 6.3 per cent in the anisotropic approach of atomic displacements using 3,674 reflexes with f x 3\(f).	True
кристаллическая структура	crystal structure	Показано, что разориентированная пористая поликристаллическая структура нижнего электрода приводит к нарушению столбчатости перовскитовых зерен.	It is shown that the misoriented porous polycrystalline structure of the lower electrode leads to violation of columnarity of perovskite grains.	It is shown that a ruined porous polycrystalline structure of the lower electrode leads to a violation of the columnar of perovskite grains.	The disoriented porous polycrystalline structure of the lower electrode has been shown to cause a collapse in the column of the perovskite grains.	It is shown that the undirected porous polycrystal structure of the lower electrode results in damage to the perovskite grain column.	False
кристаллическая структура	crystal structure	Известно, что кристаллическая структура, а следовательно, и свойства сегнетоэлектрического слоя PZT в значительной степени определяются строением нижнего электрода [6, 11].	It is known that the crystal structure and, accordingly, properties of a ferroelectric PZT layer are determined to a great extent by the lower-electrode structure [6, 11].	It is known that the crystalline structure, and, consequently, the properties of the segoneteelectric layer PZT are largely determined by the structure of the lower electrode [6, 11].	It is known that the crystalline structure and, therefore, the properties of the pzt segnetic layer are largely determined by the structure of the lower electrode [6, 11].	It is known that the crystalline structure, and therefore the properties of the segnetoelectric layer pzt, are largely determined by the structure of the lower electrode [6, 11].	True
кристаллическая структура	crystal structure	КРИСТАЛЛИЧЕСКАЯ СТРУКТУРА ВЫСОКОКАЛИЕВОГО МАНАКСИТА K(K0.72Na0.28)Mn[Si4O10] ПО ДАННЫМ НИЗКОТЕМПЕРАТУРНОГО СИНХРОТРОННОГО ЭКСПЕРИМЕНТА	Crystal Structure of Potassium-Rich Analog of Manaksite K(K0.72Na0.28)Mn[Si4O10] Based on the Low-Temperature Synchrotron Experiment Data	The crystalline structure of high -caliber manaxita K (K0.72NA0.28) MN [SI4O10] according to a low -temperature synchrotron experiment	The crystalline structure of high-calcium manaksite k(k0.72na0.28)mn[si4o10] according to the data of the low-temperature synchrotron experiment	crystalline structure of the high-alium manxite k(k0.72na0.28)mn[si4o10] from the low temperature synchrotron experiment	True
кристаллическая структура	crystal structure	Методом дифракции рентгеновских лучей с использованием синхротронного излучения при низких температурах ( = 0.64066 Å, T = 100 K, R = 0.0355) изучена кристаллическая структура нового трубчатого силиката калия, натрия и марганца, K(K0.72Na0.28)Mn[Si4O10], полученного в виде монокристаллов методом гидротермального синтеза в системе MnCl2–NaNO3–SiO2–K2CO3–H2O: a = 7.0182(4), b = 8.1642(7), c = 9.9670(11) Å,  = 104.816(8), β = 101.099(8),  = 113.558(8), пр. гр. P, Z = 2, ρвыч = 2.790 г/см3.	The crystal structure of a new tube potassium, sodium, and manganese silicate, K(K0.72Na0.28)Mn[Si4O10], prepared in the form of single crystals by the hydrothermal method in the MnCl2–NaNO3–SiO2–K2CO3–H2O system, has been studied by X-ray diffraction using synchrotron radiation at low temperatures (λ = 0.64066 Å, T = 100 K, R = 0.0355): a = 7.0182(4) Å, b = 8.1642(7) Å, c = 9.9670(11) Å, α = 104.816(8), β = 101.099(8),  = 113.558(8), sp. gr. P, Z = 2, and ρcalc = 2.790 g/cm3.	The method of diffraction of x -rays using synchrotron radiation at low temperatures (= 0.64066 å, t = 100 k, r = 0.0355) has studied the crystal structure of the new tubular silicate and manganese silicate, K (k0.72na0.28) mn [si4o10],,101.099 (8) , = 113.558 (8) , pr. Gr.p, z = 2, ρchich = 2.790 g/cm3.	The method of diffraction of x-rays using synchrotron radiation at low temperatures ( = 0.64066 å, t = 100 k, r = 0.0355) examined the crystalline structure of the new tubular silicate of potassium, sodium and manganese, k(k0.72na0.28)mn[si4o10], obtained as monocrystals by hydrothermal synthesis in the system mncl2nano3sio2k2co3h2o: a = 7.0182(4), b = 8.16427), c = 9.967011) å, = 104.8168), β = 101.0998), = 113.558, p. z = 2, g = 2.790 g/cm.	By diffraction of X-rays using synchrotron radiation at low temperatures (= 0.64066 ó, t = 100 k, r = 0.0355), the crystalline structure of the new potassium, sodium and manganese tube silicate, k(k0.72na0.28)mn[si4o10] obtained as monocrystal synthesis in mncl2-nano3–sio2–sio2–k2co3–h2o:a = 7.0182(4), b = 8.1642(7), c = 9.9670(11) \,c = 10.816 (8), β = 10.099/8),, = 113.558(8), etc., p, z = 2, b = 2.790 g/cm3.	True
кристаллическая структура	crystal structure	Кристаллическая структура решена прямыми методами и уточнена в анизотропном приближении тепловых колебаний атомов с помощью комплекса программ SHELX [9, 10] до значения R-фактора 0.0248.	The crystal structure was solved by direct methods and refined within the anisotropic approximation of thermal atomic vibrations using the SHELX software [9, 10] until reliability factor R of 0.0248 is achieved.	The crystalline structure is solved by direct methods and specified in the anisotropic approximation of thermal fluctuations in atoms using the Shelx complex [9, 10] to the value of the R-factor 0.0248.	The crystalline structure is solved by direct methods and is specified in the anisotropic approximation of the heat oscillations of atoms using a shelx program complex [9, 10] to the r-factor value of 0.0248.	The crystalline structure has been solved by direct methods and refined in the anisotropic approach of heat fluctuations in atoms using the Shelx [9, 10] set up to r factor 0.0248.	True
кристаллическая структура	crystal structure	В [3] отмечено, что кристаллическая структура манаксита формально не может рассматриваться как микропористая, поскольку эффективный диаметр самого крупного восьмичленного кольца равен лишь 0.9 Å.	It was noted in [3] that the manaksite crystal structure cannot be formally considered as microporous, because the effective diameter of the largest eight-membered ring is only 0.9 Å.	In [3] it is noted that the crystalline structure of manaxita cannot formally be considered as microporous, since the effective diameter of the largest eight -membered ring is only 0.9 å.	In [3] it is noted that the crystal structure of the manaksite formally cannot be considered as microporeous, since the effective diameter of the largest octahedron ring is only 0.9 å.	in [3] it is noted that the crystallistic structure of manaxium cannot formally be considered to be microporous, since the effective diameter of the largest eight-member ring is only 0.9 °.	True
кристаллическая структура	crystal structure	Кристаллическая структура тиеттаита расшифрована впервые на монокристалле и уточнена методом Ритвельда до итоговых факторов расходимости Rwp = 2.47% и RBragg = 1.38%.	The tiettaite crystal structure has been solved for the first time on a single crystal and refined by the Rietveld method to the final reliability factors Rwp = 2.47% and RBragg = 1.38%.	The crystalline structure of thietittaite is deciphered for the first time on the monocristal and specified by Riveld to the final factors of the divergence RWP = 2.47% and RBRAGG = 1.38%.	The crystalline structure of tiettaite is deciphered for the first time on a monocrystal and is refined by the ritweald method to the final divergence factors rwp = 2.47% and rbragg = 1.38%.	The crystallistic structure of the tietta is deciphered for the first time on a monocrystal and refined by the ritveld method to the final input factors rwp = 2.47 per cent and rbragg = 1.38%.	True
кристаллическая структура	crystal structure	Однако кристаллическая структура тиеттаита не была решена.	However, the tiettaite crystal structure was not solved.	However, the crystalline structure of tyiettaite was not solved.	However, the crystalline structure of tiettaite was not solved.	However, the crystalline structure of the Tiettaite has not been resolved.	True
